,title,author,count,asin_list,narrator_count,narrator_list
1576,Demian,Hermann Hesse,3,"['B002VA9SBE', 'B0092SG5LY', 'B005MT1RFQ']",3,"['Michael A. Smith', 'Jeff Woodman', 'Jason McCoy']"
1578,The Lovers,John Connolly,3,"['B00507GCEG', 'B0070YLK5I', 'B002V0A8R2']",3,"['Jay O. Sanders', 'Jeff Harding', 'George Guidall']"
1579,The Virgin's Lover,Philippa Gregory,3,"['1508292787', 'B002V0QFB0', 'B0036GRNS2']",3,"['Rupert Penry-Jones', 'Graeme Malcolm', 'Perdita Weeks']"
1587,The Nutmeg of Consolation,Patrick O'Brian,3,"['B002V59UIA', 'B00E1LSE3Y', 'B002UUFTLS']",3,"['Ric Jerrom', 'Patrick Tull', 'Tim Pigott-Smith']"
1588,The Apocalypse Watch,Robert Ludlum,3,"['B006X4F51Q', 'B002UZHZ60', 'B008VTNH6Q']",2,"['Edward Herrmann', 'Michael Prichard']"
1589,Hornet Flight,Ken Follett,3,"['B00K6N5AYW', 'B002V0QDTE', 'B002V0QEG6']",3,"['Nigel Carrington', 'John Lee', 'Byron Jennings']"
1591,In the Company of Cheerful Ladies,Alexander McCall Smith,3,"['B002V8LG2K', 'B0032N8P18', 'B002VA9CL0']",3,"['Adjoa Andoh', 'Lisette Lecat', 'Hilary Neville']"
1593,The Way We Live Now,Anthony Trollope,3,"['B002V5D4FU', 'B01B3NHPPA', 'B002V02PI2']",3,"['Flo Gibson', 'Timothy West', 'David Shaw-Parker']"
1594,In the Dark,Mark Billingham,3,"['B002V8H33Q', '1405542373', 'B0032N50F2']",2,"['Adjoa Andoh', 'Stephen Hoye']"
1595,Life Visioning,Michael Bernard Beckwith,3,"['B0083AW3JK', 'B01697ALFQ', 'B002V0QLMI']",2,"['Michael Bernard Beckwith', 'Michae Bernard Beckwith']"
1596,Too Many Murders,Colleen McCullough,3,"['B0037BQRVK', 'B003MYO0OS', 'B0031KG0OG']",3,"['Bill Ten Eyck', 'Charles Leggett', 'Robert Garrett']"
1598,Desolation Island,Patrick O'Brian,3,"['B002V1JA84', 'B009VT5HTU', 'B002V5HB04']",3,"['Ric Jerrom', 'Patrick Tull', 'Tim Pigott-Smith']"
1599,The Broken Window,Jeffery Deaver,3,"['B002VAEPYE', 'B0036KXOXG', 'B002V1LTQU']",2,"['George Guidall', 'Dennis Boutsikaris']"
1602,Corporations Are Not People,Jeffrey D. Clements,3,"['B00SZADCPM', 'B007PULAJS', 'B00BWYF620']",3,"['Oliver Wyman', 'Fred Filbrich', 'Ira Rosenberg']"
1603,Desperate Remedies,Thomas Hardy,3,"['B077JBMP5N', 'B00DHKIBMY', 'B0035AMO8S']",3,"['Melody Grove', 'Anna Bentinck', 'George Hagan']"
1604,The Lost Diary of Don Juan,Douglas Carlton Abrams,3,"['B002V1BMYE', 'B002V8MJCG', 'B004HAZEDC']",3,"['Scott Brick', 'Jonathan Davis', 'Gordon Griffin']"
1605,The Mysterious Rider,Zane Grey,3,"['B002V5IX7O', 'B00L890YH6', 'B002V8KJXC']",3,"['Jack Sondericker', 'Emmett Casey', 'Pat Bottino']"
